State,Type,Name,Office,Party,Incumbent,cm_url
Illinois,State,Cynthia Cobbs,Illinois 1st District Appellate Court,Democratic,Y,https://www.linkedin.com/in/cynthia-cobbs-48a627171
Illinois,Local,Pat Heery,Cook County Circuit Court 3rd Subcircuit,Democratic,N,https://www.linkedin.com/in/pat-heery-1918b129
Illinois,Local,Yolanda Harris Sayre,Cook County Circuit Court 5th Subcircuit,Democratic,N,https://www.linkedin.com/in/yolandayharrismarketer
Indiana,Federal,Rimpi Girn,U.S. House Indiana District 4,Democratic,N,https://www.linkedin.com/in/derion-searcey
Indiana,Federal,André Carson,U.S. House Indiana District 7,Democratic,Y,https://www.linkedin.com/in/kevinlgriffen
Indiana,Federal,Curtis Godfrey,U.S. House Indiana District 7,Democratic,N,https://www.linkedin.com/in/caseygodfrey
Indiana,Federal,Erik Hurt,U.S. House Indiana District 8,Democratic,N,https://www.linkedin.com/in/peterfinocchio
Indiana,Federal,Peter Priest II,U.S. House Indiana District 8,Democratic,N,https://www.linkedin.com/in/carrie-cameron
Indiana,Federal,Edward Upton Sein,U.S. House Indiana District 8,Democratic,N,https://www.linkedin.com/in/iudavidupton
Indiana,Federal,Timothy Peck,U.S. House Indiana District 9,Democratic,N,https://www.linkedin.com/in/sydneyzulich
Indiana,State,Jennifer McCormick,Governor of Indiana,Democratic,N,https://www.linkedin.com/in/robert-christmann-678295208
Indiana,State,Lonnie Randolph,Indiana State Senate District 2,Democratic,Y,https://www.linkedin.com/in/chelseytm
Indiana,State,Leon P. Smith,Indiana State Senate District 8,Democratic,N,https://www.linkedin.com/in/sagewsmith
Indiana,State,Carolyn Jackson,Indiana House of Representatives District 1,Democratic,Y,https://www.linkedin.com/in/caleb-jackson-0b67521b6
Indiana,State,Richard Rouser,Indiana House of Representatives District 23,Democratic,N,https://www.linkedin.com/in/rick-rouser-98a443263
Indiana,State,Christopher Hartig,Indiana House of Representatives District 29,Democratic,N,https://www.linkedin.com/in/chris-hartig
Indiana,State,Jim Phillips,Indiana House of Representatives District 33,Democratic,N,https://www.linkedin.com/in/james-phillips-905661175
Indiana,State,Sue Errington,Indiana House of Representatives District 34,Democratic,Y,https://www.linkedin.com/in/heath-hensley-b7210348
Indiana,State,Philip Gift,Indiana House of Representatives District 35,Democratic,N,https://www.linkedin.com/in/philip-stockton-a23972aa
Indiana,State,Chad Harmon,Indiana House of Representatives District 42,Democratic,N,https://www.linkedin.com/in/charmon86
Indiana,State,Nate Anderson,Indiana House of Representatives District 53,Democratic,N,https://www.linkedin.com/in/nathaniel-anderson-69793198
Indiana,State,Sandy James,Indiana House of Representatives District 58,Democratic,N,https://www.linkedin.com/in/sandy-james-8904231b5
Indiana,State,Thomas Horrocks,Indiana House of Representatives District 62,Democratic,N,https://www.linkedin.com/in/mseifer
Indiana,State,Rick Cannon,Indiana House of Representatives District 66,Democratic,N,https://www.linkedin.com/in/rick-cannon-244a664
Indiana,State,Jason Applegate,Indiana House of Representatives District 72,Democratic,N,https://www.linkedin.com/in/jason-applegate-7408633
Indiana,State,Alex Burton,Indiana House of Representatives District 77,Democratic,N,https://www.linkedin.com/in/alexander-burton-63550661
Indiana,State,Kyle Miller,Indiana House of Representatives District 82,Democratic,Y,https://www.linkedin.com/in/kyle-miller-1b188326
Indiana,State,Starr Hairston,Indiana House of Representatives District 88,Democratic,N,https://www.linkedin.com/in/jason-johnson-a1169732
Indiana,State,Gregory Porter,Indiana House of Representatives District 96,Democratic,Y,https://www.linkedin.com/in/gregory-porter-600334ab
Indiana,State,Robert Johnson,Indiana House of Representatives District 100,Democratic,Y,https://www.linkedin.com/in/amheaton
Indiana,Local,Bob Kern,Marion County Treasurer,Democratic,N,https://www.linkedin.com/in/bob-kern-paralegal-services-86693345
Iowa,Federal,Sarah Corkery,U.S. House Iowa District 2,Democratic,N,https://www.linkedin.com/in/sarah-corkery-71b234296
Iowa,State,Steve Gorman,Iowa State Senate District 10,Democratic,N,https://www.linkedin.com/in/brendanjgorman
Iowa,State,Mike Wolfe,Iowa State Senate District 26,Democratic,N,https://www.linkedin.com/in/mike-wolfe-9b32aab
