State,Type,Name,Office,Party,Incumbent,fd_url
Idaho,State,Paul Morgan,Idaho State Senate District 23,Democratic,N,https://www.linkedin.com/in/paul-morgan-50156210
Idaho,State,Karen Matthee,Idaho House of Representatives District 1A,Democratic,N,https://www.linkedin.com/in/alyson-olson-7b313b12
Idaho,State,Steve Bruno,Idaho House of Representatives District 3B,Democratic,N,https://www.linkedin.com/in/stevenbrun0
Idaho,State,Kathy Dawes,Idaho House of Representatives District 6B,Democratic,N,https://www.linkedin.com/in/nicole-davis-ab275150
Idaho,State,Jo Daly,Idaho House of Representatives District 14B,Democratic,N,https://www.linkedin.com/in/joe-dailey-7ba83238
Idaho,State,Monica Church,Idaho House of Representatives District 19A,Democratic,N,https://www.linkedin.com/in/monica-church-920a35147
Idaho,State,Isaiah Navarro,Idaho House of Representatives District 20A,Democratic,N,https://www.linkedin.com/in/isaiah-navarro-655a4a249
Idaho,State,Breane Buckingham,Idaho House of Representatives District 30B,Democratic,N,https://www.linkedin.com/in/ilana-rubel-5433296
Idaho,State,Patricia Stanger,Idaho House of Representatives District 32B,Democratic,N,https://www.linkedin.com/in/emma-stanger-380b6b211
Idaho,State,Jessica Lorello,Idaho Court of Appeals,Nonpartisan,Y,https://www.linkedin.com/in/jessica-lorello-phr-60a51142
Illinois,Federal,Jesus Garcia,U.S. House Illinois District 4,Democratic,Y,https://www.linkedin.com/in/jgarciarealtor
Illinois,Federal,Brad Schneider,U.S. House Illinois District 10,Democratic,Y,https://www.linkedin.com/in/eli-krule-425497178
Illinois,Federal,Brian Roberts,U.S. House Illinois District 12,Democratic,N,https://www.linkedin.com/in/brianrobertssalesleader
Illinois,Federal,Lauren Underwood,U.S. House Illinois District 14,Democratic,Y,https://www.linkedin.com/in/emmab2
Illinois,State,Michael Kelly,Illinois House of Representatives District 15,Democratic,Y,https://www.linkedin.com/in/dr-michael-kelly-a297b3a7
Illinois,State,Kevin Olickal,Illinois House of Representatives District 16,Democratic,Y,https://www.linkedin.com/in/ethan-burstin
Illinois,State,Lisa Davis,Illinois House of Representatives District 32,Democratic,N,https://www.linkedin.com/in/lisa-s-sargent-davis-68a7a834
Illinois,State,Will Guzzardi,Illinois House of Representatives District 39,Democratic,Y,https://www.linkedin.com/in/robert-merkel-1604531a7
Illinois,State,Michelle Mussman,Illinois House of Representatives District 56,Democratic,Y,https://www.linkedin.com/in/christi-wessel-853575b3
Illinois,State,Laura Dias,Illinois House of Representatives District 62,Democratic,Y,https://www.linkedin.com/in/maureen-heun-56733862
Illinois,State,David Simpson,Illinois House of Representatives District 74,Democratic,N,https://www.linkedin.com/in/davidsimpson8
Illinois,State,William Morgan,Illinois House of Representatives District 79,Democratic,N,https://www.linkedin.com/in/william-morgan-6a0749a
Illinois,State,Sharon Chung,Illinois House of Representatives District 91,Democratic,Y,https://www.linkedin.com/in/deja-sims-70b4a2214
