,State,Type,Name,Office,Party,Status
229,Arizona,Federal,Michelle Martin,U.S. House Arizona District 1,Libertarian,Candidacy DeclaredGeneral
230,Arizona,Federal,Eli CraneIncumbent,U.S. House Arizona District 2,Republican,Candidacy DeclaredPrimary
231,Arizona,Federal,Jack Smith,U.S. House Arizona District 2,Republican,Candidacy DeclaredPrimary
232,Arizona,Federal,Lindsay Bowe,U.S. House Arizona District 2,Democratic,Candidacy DeclaredPrimary
233,Arizona,Federal,Jonathan Nez,U.S. House Arizona District 2,Democratic,Candidacy DeclaredPrimary
234,Arizona,Federal,David Bies,U.S. House Arizona District 2,Libertarian,Candidacy DeclaredGeneral
235,Arizona,Federal,Jesus Mendoza,U.S. House Arizona District 3,Republican,Candidacy DeclaredPrimary
236,Arizona,Federal,Jeffrey Zink,U.S. House Arizona District 3,Republican,Candidacy DeclaredPrimary
237,Arizona,Federal,Yassamin Ansari,U.S. House Arizona District 3,Democratic,Candidacy DeclaredPrimary
238,Arizona,Federal,Hector Jaramillo,U.S. House Arizona District 3,Democratic,Candidacy DeclaredPrimary
239,Arizona,Federal,Raquel Terán,U.S. House Arizona District 3,Democratic,Candidacy DeclaredPrimary
240,Arizona,Federal,Duane Wooten,U.S. House Arizona District 3,Democratic,Candidacy DeclaredPrimary
241,Arizona,Federal,Candace Cunningham,U.S. House Arizona District 3,Independent,Candidacy DeclaredGeneral
242,Arizona,Federal,Alan Aversa,U.S. House Arizona District 3,Libertarian,Candidacy DeclaredGeneral
243,Arizona,Federal,Greg StantonIncumbent,U.S. House Arizona District 4,Democratic,Candidacy DeclaredPrimary
244,Arizona,Federal,Kelly Cooper,U.S. House Arizona District 4,Republican,Candidacy DeclaredPrimary
245,Arizona,Federal,Jerone Davison,U.S. House Arizona District 4,Republican,Candidacy DeclaredPrimary
246,Arizona,Federal,Dave Giles,U.S. House Arizona District 4,Republican,Candidacy DeclaredPrimary
247,Arizona,Federal,Zuhdi Jasser,U.S. House Arizona District 4,Republican,Candidacy DeclaredPrimary
248,Arizona,Federal,Andy BiggsIncumbent,U.S. House Arizona District 5,Republican,Candidacy DeclaredPrimary
249,Arizona,Federal,Casey Michel,U.S. House Arizona District 5,Republican,Candidacy DeclaredPrimary
250,Arizona,Federal,Katrina Schaffner,U.S. House Arizona District 5,Democratic,Candidacy DeclaredPrimary
251,Arizona,Federal,Evan Olson,U.S. House Arizona District 5,Independent,Candidacy DeclaredGeneral
252,Arizona,Federal,Clint Smith,U.S. House Arizona District 5,Independent,Candidacy DeclaredGeneral
253,Arizona,Federal,Juan CiscomaniIncumbent,U.S. House Arizona District 6,Republican,Candidacy DeclaredPrimary
254,Arizona,Federal,Kathleen Winn,U.S. House Arizona District 6,Republican,Candidacy DeclaredPrimary
255,Arizona,Federal,Kirsten Engel,U.S. House Arizona District 6,Democratic,Candidacy DeclaredPrimary
256,Arizona,Federal,Jack O'Donnell,U.S. House Arizona District 6,Democratic,Candidacy DeclaredPrimary
257,Arizona,Federal,Vieri Tenuta,U.S. House Arizona District 6,Democratic,Candidacy DeclaredPrimary
258,Arizona,Federal,Clifford Vance Cast,U.S. House Arizona District 6,Libertarian,Candidacy DeclaredGeneral
259,Arizona,Federal,Mark Siarto,U.S. House Arizona District 6,Libertarian,Candidacy DeclaredGeneral
260,Arizona,Federal,Raúl GrijalvaIncumbent,U.S. House Arizona District 7,Democratic,Candidacy DeclaredPrimary
261,Arizona,Federal,Walter Blackman,U.S. House Arizona District 7,Republican,Candidacy DeclaredPrimary
262,Arizona,Federal,Daniel Butierez,U.S. House Arizona District 7,Republican,Candidacy DeclaredPrimary
263,Arizona,Federal,Patrick Briody,U.S. House Arizona District 8,Republican,Candidacy DeclaredPrimary
264,Arizona,Federal,Trent Franks,U.S. House Arizona District 8,Republican,Candidacy DeclaredPrimary
265,Arizona,Federal,Isiah Gallegos,U.S. House Arizona District 8,Republican,Candidacy DeclaredPrimary
266,Arizona,Federal,Abraham Hamadeh,U.S. House Arizona District 8,Republican,Candidacy DeclaredPrimary
267,Arizona,Federal,Anthony Kern,U.S. House Arizona District 8,Republican,Candidacy DeclaredPrimary
268,Arizona,Federal,Blake Masters,U.S. House Arizona District 8,Republican,Candidacy DeclaredPrimary
269,Arizona,Federal,Ben Toma,U.S. House Arizona District 8,Republican,Candidacy DeclaredPrimary
270,Arizona,Federal,Bernadette Greene Placentia,U.S. House Arizona District 8,Democratic,Candidacy DeclaredPrimary
271,Arizona,Federal,Marc Lewis,U.S. House Arizona District 8,Democratic,Candidacy DeclaredPrimary
272,Arizona,Federal,Mark Thompson,U.S. House Arizona District 8,Democratic,Candidacy DeclaredPrimary
